100,Code Innovators,UM,Web Development,5,2,1,9,,
101,Cyber Titans,UTM,Cybersecurity,2,6,5,5,,
102,AI Vision,UKM,Artificial Intelligence,4,7,2,2,,
103,Data Pioneers,USM,Data Science,1,1,5,7,,
104,Quantum Hackers,UMS,Cybersecurity,5,7,4,2,,
105,Web Masters,UiTM,Web Development,2,6,5,8,,
106,Pixel Coders,MMU,Mobile Applications,6,2,9,5,,
107,Smart Solutions,UMK,Artificial Intelligence,4,4,8,2,,
108,Code Dreamers,USIM,Mobile Applications,5,6,5,3,,
109,Tech Visionaries,UUM,Artificial Intelligence,6,2,9,6,,
110,Secure Minds,UNITEN,Cybersecurity,7,9,6,6,,
111,Cloud Ninjas,UTP,Cloud Computing,6,9,10,9,,
112,Byte Force,IIUM,Web Development,1,4,4,2,,
113,Algo Masters,UMT,Artificial Intelligence,2,3,6,5,,
114,Code Warriors,UPM,Web Development,2,3,6,7,,
115,Green Techies,USIM,Sustainability Tech,4,7,7,8,,
116,Digital Pioneers,USM,Mobile Applications,3,4,6,5,,
117,NextGen Coders,UMS,Cybersecurity,4,9,9,10,,
118,App Gurus,UiTM,Mobile Applications,5,9,2,4,,
119,Vision Coders,UKM,Artificial Intelligence,6,2,5,8,,
